node_count,failure_case,failed_nodes,active_node_count,unaffected_normal_leg_count,bypass_start_node,bypass_target_node,node_stride,bypassed_node_count,local_bypass_flight_time_s,local_bypass_minimum_altitude_m,departure_radial_velocity_m_s,departure_tangential_velocity_m_s,arrival_inertial_velocity_x_m_s,arrival_inertial_velocity_y_m_s,route_circulation_period_s,normal_reference_circulation_period_s,active_node_passage_frequency_hz,normal_reference_passage_frequency_hz,intersects_earth,violates_minimum_safe_altitude
48,one_failed_node,1,47,46,0,2,2,1,155.7658071282479,461819.5335336663,-977.1206456230766,11960.151974113754,-2285.6417645194647,11780.31585842605,3749.891164347085,3750.3916770979195,5333.488126310011,5332.776339637183,False,False
48,two_adjacent_failed_nodes,"1,2",46,45,0,3,3,2,232.40413336818315,414376.5323041864,-1462.4455851986652,11910.552166475445,-3402.347405031652,11507.564126932952,3748.39633064748,3750.3916770979195,5335.615083302916,5332.776339637183,False,False
96,one_failed_node,1,95,94,0,2,2,1,78.13315993954,490435.9646866517,-489.21004053943454,11990.02391725035,-1148.0627484304568,11944.95508261042,3753.339609425963,3753.40233139039,5328.587892705719,5328.49884829461,False,False
96,two_adjacent_failed_nodes,"1,2",94,93,0,3,3,2,117.04314568930981,478498.67326671164,-733.4086248769312,11977.567022937343,-1718.8153782921138,11876.265140832218,3753.1516542237496,3753.40233139039,5328.854744649674,5328.49884829461,False,False
192,one_failed_node,1,191,190,0,2,2,1,39.097940951983226,497607.80640000757,-244.68639052455407,11997.505097739782,-574.6877131003911,11986.231018648748,3754.1476243723855,3754.155469561677,5327.441006889967,5327.429873951153,False,False
192,two_adjacent_failed_nodes,"1,2",190,189,0,3,3,2,58.62730504795005,494618.6753805876,-366.97871803917366,11994.387296586114,-861.6212771697915,11969.027060489743,3754.1240953977185,3754.155469561677,5327.474396629173,5327.429873951153,False,False
480,one_failed_node,1,479,478,0,2,2,1,15.64269107877519,499617.19591926597,-97.8836741373251,11999.600776123236,-229.94862692342113,11997.79661558638,3754.365880106192,3754.3663822869707,5327.13130224652,5327.130589694075,False,False
480,two_adjacent_failed_nodes,"1,2",478,477,0,3,3,2,23.462781233818838,499138.71926973294,-146.82225453706292,11999.101767447955,-344.8966736084343,11995.042571184731,3754.364373631471,3754.3663822869707,5327.1334398090585,5327.130589694075,False,False
960,one_failed_node,1,959,958,0,2,2,1,7.821596629764523,499904.2970829746,-48.94248842909888,11999.900192619369,-114.97956700606848,11999.449141488576,3754.3964370097538,3754.3964997545336,5327.087944907945,5327.087855879799,False,False
960,two_adjacent_failed_nodes,"1,2",958,957,0,3,3,2,11.732238011314285,499784.67021499574,-73.4133255408524,11999.77543471681,-172.4660670191566,11998.760579981878,3754.3962487040594,3754.3964997545336,5327.088212093646,5327.087855879799,False,False
