node_count,failure_case,failed_nodes,active_node_count,unaffected_normal_leg_count,bypass_start_node,bypass_target_node,node_stride,bypassed_node_count,local_bypass_flight_time_s,local_bypass_minimum_altitude_m,local_bypass_deflection_angle_rad,local_bypass_guide_length_m,local_bypass_delta_v_m_s,route_circulation_period_s,normal_reference_circulation_period_s,active_node_passage_frequency_hz,normal_reference_passage_frequency_hz,intersects_earth,violates_minimum_safe_altitude
48,one_failed_node,1,47,46,0,2,2,1,155.7658071282479,461819.5335336663,0.16303394149437098,2393.976289068073,1954.2412912461805,3749.891164347088,3750.3916770979195,5333.488126310007,5332.776339637183,False,False
48,two_adjacent_failed_nodes,"1,2",46,45,0,3,3,2,232.40413336818315,414376.5323041864,0.2443483561879833,3587.9901180392485,2924.8911703973395,3748.3963306474825,3750.3916770979195,5335.615083302912,5332.776339637183,False,False
96,one_failed_node,1,95,94,0,2,2,1,78.13315993954,490435.9646866517,0.08155760872812959,1197.5848691296885,978.4200812187137,3753.339609425963,3753.40233139039,5328.587892705719,5328.49884829461,False,False
96,two_adjacent_failed_nodes,"1,2",94,93,0,3,3,2,117.04314568930981,478498.67326671164,0.1223109969765797,1796.0040956521825,1466.817249753852,3753.1516542237496,3753.40233139039,5328.854744649674,5328.49884829461,False,False
192,one_failed_node,1,191,190,0,2,2,1,39.097940951983226,497607.80640000757,0.04078389156466456,598.86713457824,489.37278103135577,3754.1476243723923,3754.155469561677,5327.441006889958,5327.429873951153,False,False
192,two_adjacent_failed_nodes,"1,2",190,189,0,3,3,2,58.62730504795005,494618.6753805876,0.06117265730237612,898.2540063673285,733.9574360652712,3754.1240953977253,3754.155469561677,5327.4743966291635,5327.429873951153,False,False
480,one_failed_node,1,479,478,0,2,2,1,15.64269107877519,499617.19591926597,0.01631412660636327,239.55522337559827,195.76734827537143,3754.365880106217,3754.3663822869707,5327.131302246485,5327.130589694075,False,False
480,two_adjacent_failed_nodes,"1,2",478,477,0,3,3,2,23.462781233818838,499138.71926973294,0.024470986332348177,359.3298457534568,293.6445090727713,3754.364373631496,3754.3663822869707,5327.133439809023,5327.130589694075,False,False
960,one_failed_node,1,959,958,0,2,2,1,7.821596629764523,499904.2970829746,0.008157104019874992,119.77820956820108,97.88497685896346,3754.3964370098097,3754.3964997545336,5327.087944907866,5327.087855879799,False,False
960,two_adjacent_failed_nodes,"1,2",958,957,0,3,3,2,11.732238011314285,499784.67021499574,0.012235630581719992,179.6669406747135,146.8266510803703,3754.396248704115,3754.3964997545336,5327.088212093568,5327.087855879799,False,False
