node_count,failure_case,failed_nodes,transition_node,incoming_leg_stride,outgoing_leg_stride,actual_transition_angle_rad,actual_transition_delta_v_m_s,ideal_interaction_time_s,guide_relative_entry_speed_m_s,guide_relative_exit_speed_m_s,physical_guide_length_estimate_m,inertial_turn_path_length_m
48,one_failed_node,1,0,1,2,0.12229577511708545,1466.6349288688507,0.1496483815986914,11499.393455460699,11500.69493523471,1720.8655429206813,1795.7805791840294
48,one_failed_node,1,2,2,1,0.12229577510541219,1466.6349287292517,0.14964838158442959,11500.694935234707,11499.393455464025,1720.8655427569468,1795.780579013155
48,two_adjacent_failed_nodes,"1,2",0,1,3,0.16295298246389253,1953.2730073368605,0.1993989578058174,11499.393455460699,11502.855605881467,2293.0819279523903,2392.7874936694525
48,two_adjacent_failed_nodes,"1,2",3,3,1,0.16295298245221776,1953.2730071975182,0.19939895779156108,11502.855605881457,11499.393455464025,2293.081927788807,2392.787493498732
96,one_failed_node,1,0,1,2,0.0611707501398149,733.9345608185565,0.07485216681311013,11499.067487581355,11499.393455464025,860.7301153616153,898.226001757331
96,one_failed_node,1,2,2,1,0.06117075015297055,733.9345609762336,0.07485216682919624,11499.393455460699,11499.067487581122,860.7301155464519,898.2260019502212
96,two_adjacent_failed_nodes,"1,2",0,1,3,0.08154744426987916,978.2982091087341,0.09978630125869282,11499.067487581355,11499.936203242953,1147.4638538627607,1197.4356151043262
96,two_adjacent_failed_nodes,"1,2",3,3,1,0.08154744427135838,978.29820912646,0.09978630126050186,11499.936203242953,11499.067487581122,1147.4638538835507,1197.4356151260224
192,one_failed_node,1,0,1,2,0.030588236740924247,367.04453126606774,0.037429585117353115,11498.985958156136,11499.067487581122,430.4022736085678,449.15502140823736
192,one_failed_node,1,2,2,1,0.030588236739424353,367.04453124807486,0.037429585115518145,11499.067487581355,11498.985958156134,430.402273587472,449.15502138622236
192,two_adjacent_failed_nodes,"1,2",0,1,3,0.04078261960958787,489.3575207438106,0.049904038108330016,11498.985958156136,11499.20333665524,573.8476412766548,598.8484572999603
192,two_adjacent_failed_nodes,"1,2",3,3,1,0.04078261960847711,489.35752073049053,0.04990403810697145,11499.203336655532,11498.985958156134,573.8476412610399,598.8484572836651
480,one_failed_node,1,0,1,2,0.012235615313140144,146.82646786068563,0.014972226372684014,11498.963127230916,11498.97617361782,172.1650789912747,179.66671647220812
480,one_failed_node,1,2,2,1,0.012235615313136442,146.82646786064123,0.01497222637267949,11498.976173617819,11498.963127230922,172.1650789912227,179.66671647215387
480,two_adjacent_failed_nodes,"1,2",0,1,3,0.01631404517621383,195.76637114596957,0.01996283563852752,11498.963127230916,11498.997916743132,229.55202666993222,239.55402766233018
480,two_adjacent_failed_nodes,"1,2",3,3,1,0.016314045176037135,195.76637114384943,0.01996283563831132,11498.99791674314,11498.963127230922,229.55202666744626,239.5540276597359
960,one_failed_node,1,0,1,2,0.006117835127520298,73.41390704095652,0.0074861468013831395,11498.959865428847,11498.963127230922,86.08290161631503,89.83376161603528
960,one_failed_node,1,2,2,1,0.006117826001355264,73.41379752794805,0.007486135634111867,11498.963127230916,11498.959865569368,86.08277320487323,89.83362760934237
960,two_adjacent_failed_nodes,"1,2",0,1,3,0.008157098408522502,97.88490952233819,0.00998151059756973,11498.959865428847,11498.968563272107,114.77700422779763,119.77812717008688
960,two_adjacent_failed_nodes,"1,2",3,3,1,0.008157089282182447,97.88480000778124,0.00998149943009992,11498.96856327211,11498.959865569368,114.7768758142604,119.77799316119906
