node_count,direct_flight_time_s,minimum_free_flight_altitude_m,active_deflection_angle_rad,l1_physical_guide_length_per_node_m,total_l1_physical_guide_length_m,ideal_interaction_time_s,guide_relative_entry_speed_m_s,guide_relative_exit_speed_m_s,inertial_turn_path_length_m,node_delta_v_m_s,average_node_reaction_force_n,intersects_earth,violates_minimum_safe_altitude
10,366.32583615887427,282814.9895899063,0.3900540463311224,5489.95486910816,54899.548691081596,0.47729332197778734,11508.86690890195,11508.866908901951,5727.519863733448,4651.0331017264125,1269643.75499556,False,False
16,232.40413336818315,414376.5323041864,0.2443483561879833,3438.567807780232,55017.084924483715,0.2989991765032704,11502.855605881457,11502.855605881467,3587.990118039243,2924.8911703973395,786585.3997537394,False,False
24,155.7658071282479,461819.5335336663,0.16303394149437098,2294.135037716488,55059.240905195715,0.19949802408900547,11500.694935234707,11500.69493523471,2393.9762890680654,1954.2412912461805,522750.92955124076,False,False
32,117.04314568930981,478498.67326671164,0.1223109969765797,1721.0635247996386,55074.032793588434,0.1496670079710147,11499.936203242953,11499.936203242953,1796.0040956521761,1466.817249753852,391633.69016486127,False,False
48,78.13315993954,490435.9646866517,0.08155760872812959,1147.5960479613136,55084.61030214305,0.09979873909412293,11499.393455460699,11499.393455464025,1197.584869129297,978.4200812187137,260884.77296745233,False,False
64,58.62730504795005,494618.6753805876,0.06117265730237612,860.7549182883197,55088.31477045246,0.07485450053060988,11499.203336655532,11499.20333665524,898.2540063673302,733.9574360652712,195609.96244225034,False,False
96,39.097940951983226,497607.80640000757,0.04078389156466456,573.86418294666,55090.961562879354,0.049905594548179465,11499.067487581355,11499.067487581122,598.8671345781597,489.37278103135577,130381.11500561547,False,False
192,19.552893070633733,499401.87751504406,0.02039258191569,286.940364249383,55092.54993588153,0.024953575684691944,11498.985958156136,11498.985958156134,299.44290821630335,244.70674280730697,65182.900599446446,False,False
480,7.821596629764523,499904.2970829746,0.008157104019874992,114.77707233399703,55092.99472031857,0.009981517464051688,11498.963127230916,11498.963127230922,119.77820956862023,97.88497685896346,26072.30272484403,False,False
960,3.910829687244306,499976.07425915357,0.004078557108993352,57.388602487558344,55093.05838805601,0.00499076497145894,11498.959865428847,11498.959865569368,59.88917965713234,48.942651384724556,13036.090191306239,False,False
1920,1.955418772552636,499994.0185443964,0.002039279187233255,28.69430946843361,55093.074179392526,0.0024953832599518325,11498.959050137595,11498.959050155681,29.944599119397864,24.471346005872874,6518.037409835208,False,False
