element_mass_g,specific_magnetic_moment_a_m2_kg,required_gradient_t_m,rotor_radius_m,clearance_factor,navigation_margin_m,aperture_radius_m,navigation_floor_active,operating_offset_m,operating_field_t,pole_tip_field_t,aperture_edge_pressure_pa,aperture_field_energy_per_length_j_m,fidelity,geometry_fidelity,aperture_fidelity,assumptions,warnings
1000.0,126.22633419299679,77.69099897178259,0.030863969928184347,2.5,0.005,0.07715992482046087,False,0.038579962410230435,2.9973158199446237,5.994631639889247,14298324.31555198,133717.61202715556,M1-QUADRUPOLE,M1-GEOMETRY,M1-APERTURE,"Uniform-density spherical envelope. | Aperture radius is max(clearance_factor * rotor radius, navigation margin). | The navigation margin is a study input, not a demonstrated control tolerance. | Ideal 2-D current-free quadrupole with |B| = G r in a circular aperture. | The gradient and aperture are uniform along the reported guide length.","Containment and internal structure are not represented. | Finite guide geometry and orbit-clearance dynamics are omitted. | Aperture field energy excludes coil, yoke, end, and fringe-field energy. | Pole-tip field is an aperture-edge scale, not a conductor peak-field prediction."
500.0,126.22633419299679,77.69099897178259,0.024496749165957354,2.5,0.005,0.061241872914893386,False,0.030620936457446693,2.378971142830511,4.757942285661022,9007379.891693821,53065.86949964559,M1-QUADRUPOLE,M1-GEOMETRY,M1-APERTURE,"Uniform-density spherical envelope. | Aperture radius is max(clearance_factor * rotor radius, navigation margin). | The navigation margin is a study input, not a demonstrated control tolerance. | Ideal 2-D current-free quadrupole with |B| = G r in a circular aperture. | The gradient and aperture are uniform along the reported guide length.","Containment and internal structure are not represented. | Finite guide geometry and orbit-clearance dynamics are omitted. | Aperture field energy excludes coil, yoke, end, and fringe-field energy. | Pole-tip field is an aperture-edge scale, not a conductor peak-field prediction."
100.0,126.22633419299679,77.69099897178259,0.014325785817962107,2.5,0.005,0.035814464544905264,False,0.017907232272452632,1.3912307640665895,2.782461528133179,3080480.591475157,6206.621748426108,M1-QUADRUPOLE,M1-GEOMETRY,M1-APERTURE,"Uniform-density spherical envelope. | Aperture radius is max(clearance_factor * rotor radius, navigation margin). | The navigation margin is a study input, not a demonstrated control tolerance. | Ideal 2-D current-free quadrupole with |B| = G r in a circular aperture. | The gradient and aperture are uniform along the reported guide length.","Containment and internal structure are not represented. | Finite guide geometry and orbit-clearance dynamics are omitted. | Aperture field energy excludes coil, yoke, end, and fringe-field energy. | Pole-tip field is an aperture-edge scale, not a conductor peak-field prediction."
50.0,126.22633419299679,77.69099897178259,0.011370383738852081,2.5,0.005,0.028425959347130204,False,0.014212979673565102,1.1042205892049133,2.2084411784098266,1940581.1704960808,2463.099473155079,M1-QUADRUPOLE,M1-GEOMETRY,M1-APERTURE,"Uniform-density spherical envelope. | Aperture radius is max(clearance_factor * rotor radius, navigation margin). | The navigation margin is a study input, not a demonstrated control tolerance. | Ideal 2-D current-free quadrupole with |B| = G r in a circular aperture. | The gradient and aperture are uniform along the reported guide length.","Containment and internal structure are not represented. | Finite guide geometry and orbit-clearance dynamics are omitted. | Aperture field energy excludes coil, yoke, end, and fringe-field energy. | Pole-tip field is an aperture-edge scale, not a conductor peak-field prediction."
20.0,126.22633419299679,77.69099897178259,0.008377770369111902,2.5,0.005,0.020944425922779755,False,0.010472212961389877,0.8135966864156293,1.6271933728312586,1053509.5431253847,725.9308834710278,M1-QUADRUPOLE,M1-GEOMETRY,M1-APERTURE,"Uniform-density spherical envelope. | Aperture radius is max(clearance_factor * rotor radius, navigation margin). | The navigation margin is a study input, not a demonstrated control tolerance. | Ideal 2-D current-free quadrupole with |B| = G r in a circular aperture. | The gradient and aperture are uniform along the reported guide length.","Containment and internal structure are not represented. | Finite guide geometry and orbit-clearance dynamics are omitted. | Aperture field energy excludes coil, yoke, end, and fringe-field energy. | Pole-tip field is an aperture-edge scale, not a conductor peak-field prediction."
10.0,126.22633419299679,77.69099897178259,0.0066494407485381225,2.5,0.005,0.016623601871345307,False,0.008311800935672653,0.6457521179470057,1.2915042358940114,663669.4248244015,288.0858620195285,M1-QUADRUPOLE,M1-GEOMETRY,M1-APERTURE,"Uniform-density spherical envelope. | Aperture radius is max(clearance_factor * rotor radius, navigation margin). | The navigation margin is a study input, not a demonstrated control tolerance. | Ideal 2-D current-free quadrupole with |B| = G r in a circular aperture. | The gradient and aperture are uniform along the reported guide length.","Containment and internal structure are not represented. | Finite guide geometry and orbit-clearance dynamics are omitted. | Aperture field energy excludes coil, yoke, end, and fringe-field energy. | Pole-tip field is an aperture-edge scale, not a conductor peak-field prediction."
5.0,126.22633419299679,77.69099897178259,0.005277664619614814,2.5,0.005,0.013194161549037034,False,0.006597080774518517,0.5125337956698848,1.0250675913397695,418085.53925394313,114.3269501067413,M1-QUADRUPOLE,M1-GEOMETRY,M1-APERTURE,"Uniform-density spherical envelope. | Aperture radius is max(clearance_factor * rotor radius, navigation margin). | The navigation margin is a study input, not a demonstrated control tolerance. | Ideal 2-D current-free quadrupole with |B| = G r in a circular aperture. | The gradient and aperture are uniform along the reported guide length.","Containment and internal structure are not represented. | Finite guide geometry and orbit-clearance dynamics are omitted. | Aperture field energy excludes coil, yoke, end, and fringe-field energy. | Pole-tip field is an aperture-edge scale, not a conductor peak-field prediction."
1.0,126.22633419299679,77.69099897178259,0.003086396992818435,2.5,0.005,0.007715992482046088,False,0.003857996241023044,0.29973158199446237,0.5994631639889247,142983.2431555198,13.37176120271556,M1-QUADRUPOLE,M1-GEOMETRY,M1-APERTURE,"Uniform-density spherical envelope. | Aperture radius is max(clearance_factor * rotor radius, navigation margin). | The navigation margin is a study input, not a demonstrated control tolerance. | Ideal 2-D current-free quadrupole with |B| = G r in a circular aperture. | The gradient and aperture are uniform along the reported guide length.","Containment and internal structure are not represented. | Finite guide geometry and orbit-clearance dynamics are omitted. | Aperture field energy excludes coil, yoke, end, and fringe-field energy. | Pole-tip field is an aperture-edge scale, not a conductor peak-field prediction."
0.5,126.22633419299679,77.69099897178259,0.0024496749165957357,2.5,0.005,0.006124187291489339,False,0.0030620936457446696,0.23789711428305113,0.47579422856610226,90073.79891693823,5.306586949964561,M1-QUADRUPOLE,M1-GEOMETRY,M1-APERTURE,"Uniform-density spherical envelope. | Aperture radius is max(clearance_factor * rotor radius, navigation margin). | The navigation margin is a study input, not a demonstrated control tolerance. | Ideal 2-D current-free quadrupole with |B| = G r in a circular aperture. | The gradient and aperture are uniform along the reported guide length.","Containment and internal structure are not represented. | Finite guide geometry and orbit-clearance dynamics are omitted. | Aperture field energy excludes coil, yoke, end, and fringe-field energy. | Pole-tip field is an aperture-edge scale, not a conductor peak-field prediction."
0.1,126.22633419299679,77.69099897178259,0.001432578581796211,2.5,0.005,0.005,True,0.0025,0.19422749742945647,0.38845499485891294,60040.1212416639,2.357770047668148,M1-QUADRUPOLE,M1-GEOMETRY,M1-APERTURE,"Uniform-density spherical envelope. | Aperture radius is max(clearance_factor * rotor radius, navigation margin). | The navigation margin is a study input, not a demonstrated control tolerance. | Ideal 2-D current-free quadrupole with |B| = G r in a circular aperture. | The gradient and aperture are uniform along the reported guide length.","Containment and internal structure are not represented. | Finite guide geometry and orbit-clearance dynamics are omitted. | Aperture field energy excludes coil, yoke, end, and fringe-field energy. | Pole-tip field is an aperture-edge scale, not a conductor peak-field prediction."
