node_count,target_physical_guide_length_m,required_acceleration_m_s2,required_acceleration_g0,required_force_per_50g_element_n,interaction_time_s,net_impulse_per_50g_element_n_s,node_mean_force_n,node_mean_force_relative_error,mode,fidelity,assumptions,warnings
96,50.0,112553.70379387726,11477.2836589332,5627.685189693863,0.004348206076560291,24.468639051567784,130381.11500561546,-1.11610605782441e-16,length-driven,M1-GUIDE-KINEMATICS,Accepted OR-1.1 endpoint velocities and guide-relative speed integral are fixed. | The inertial velocity vector rotates at constant magnitude and angular rate. | Gravity and local Earth-frame rotation during the finite guide interaction are omitted.,"This is an ideal kinematic inversion, not a magnet or structural design."
96,100.0,56276.85189693863,5738.6418294666,2813.8425948469317,0.008696412153120583,24.468639051567784,130381.11500561546,-1.11610605782441e-16,length-driven,M1-GUIDE-KINEMATICS,Accepted OR-1.1 endpoint velocities and guide-relative speed integral are fixed. | The inertial velocity vector rotates at constant magnitude and angular rate. | Gravity and local Earth-frame rotation during the finite guide interaction are omitted.,"This is an ideal kinematic inversion, not a magnet or structural design."
96,250.0,22510.74075877545,2295.45673178664,1125.5370379387725,0.021741030382801455,24.468639051567784,130381.11500561546,-1.11610605782441e-16,length-driven,M1-GUIDE-KINEMATICS,Accepted OR-1.1 endpoint velocities and guide-relative speed integral are fixed. | The inertial velocity vector rotates at constant magnitude and angular rate. | Gravity and local Earth-frame rotation during the finite guide interaction are omitted.,"This is an ideal kinematic inversion, not a magnet or structural design."
96,500.0,11255.370379387725,1147.72836589332,562.7685189693863,0.04348206076560291,24.468639051567784,130381.11500561546,-1.11610605782441e-16,length-driven,M1-GUIDE-KINEMATICS,Accepted OR-1.1 endpoint velocities and guide-relative speed integral are fixed. | The inertial velocity vector rotates at constant magnitude and angular rate. | Gravity and local Earth-frame rotation during the finite guide interaction are omitted.,"This is an ideal kinematic inversion, not a magnet or structural design."
96,1000.0,5627.685189693862,573.86418294666,281.38425948469313,0.08696412153120582,24.468639051567784,130381.11500561546,-1.11610605782441e-16,length-driven,M1-GUIDE-KINEMATICS,Accepted OR-1.1 endpoint velocities and guide-relative speed integral are fixed. | The inertial velocity vector rotates at constant magnitude and angular rate. | Gravity and local Earth-frame rotation during the finite guide interaction are omitted.,"This is an ideal kinematic inversion, not a magnet or structural design."
96,2500.0,2251.074075877545,229.54567317866398,112.55370379387726,0.21741030382801452,24.468639051567784,130381.11500561546,-1.11610605782441e-16,length-driven,M1-GUIDE-KINEMATICS,Accepted OR-1.1 endpoint velocities and guide-relative speed integral are fixed. | The inertial velocity vector rotates at constant magnitude and angular rate. | Gravity and local Earth-frame rotation during the finite guide interaction are omitted.,"This is an ideal kinematic inversion, not a magnet or structural design."
960,50.0,11255.79877169228,1147.7720497511668,562.789938584614,0.004348219642167556,2.447132569236228,13036.090191306239,0.0,length-driven,M1-GUIDE-KINEMATICS,Accepted OR-1.1 endpoint velocities and guide-relative speed integral are fixed. | The inertial velocity vector rotates at constant magnitude and angular rate. | Gravity and local Earth-frame rotation during the finite guide interaction are omitted.,"This is an ideal kinematic inversion, not a magnet or structural design."
960,100.0,5627.89938584614,573.8860248755834,281.394969292307,0.008696439284335111,2.447132569236228,13036.090191306239,0.0,length-driven,M1-GUIDE-KINEMATICS,Accepted OR-1.1 endpoint velocities and guide-relative speed integral are fixed. | The inertial velocity vector rotates at constant magnitude and angular rate. | Gravity and local Earth-frame rotation during the finite guide interaction are omitted.,"This is an ideal kinematic inversion, not a magnet or structural design."
960,250.0,2251.159754338456,229.55440995023338,112.55798771692281,0.021741098210837778,2.447132569236228,13036.090191306239,0.0,length-driven,M1-GUIDE-KINEMATICS,Accepted OR-1.1 endpoint velocities and guide-relative speed integral are fixed. | The inertial velocity vector rotates at constant magnitude and angular rate. | Gravity and local Earth-frame rotation during the finite guide interaction are omitted.,"This is an ideal kinematic inversion, not a magnet or structural design."
960,500.0,1125.579877169228,114.77720497511669,56.278993858461405,0.043482196421675556,2.447132569236228,13036.090191306239,0.0,length-driven,M1-GUIDE-KINEMATICS,Accepted OR-1.1 endpoint velocities and guide-relative speed integral are fixed. | The inertial velocity vector rotates at constant magnitude and angular rate. | Gravity and local Earth-frame rotation during the finite guide interaction are omitted.,"This is an ideal kinematic inversion, not a magnet or structural design."
960,1000.0,562.789938584614,57.388602487558344,28.139496929230702,0.08696439284335111,2.447132569236228,13036.090191306239,0.0,length-driven,M1-GUIDE-KINEMATICS,Accepted OR-1.1 endpoint velocities and guide-relative speed integral are fixed. | The inertial velocity vector rotates at constant magnitude and angular rate. | Gravity and local Earth-frame rotation during the finite guide interaction are omitted.,"This is an ideal kinematic inversion, not a magnet or structural design."
960,2500.0,225.1159754338456,22.955440995023338,11.25579877169228,0.21741098210837775,2.447132569236228,13036.090191306239,0.0,length-driven,M1-GUIDE-KINEMATICS,Accepted OR-1.1 endpoint velocities and guide-relative speed integral are fixed. | The inertial velocity vector rotates at constant magnitude and angular rate. | Gravity and local Earth-frame rotation during the finite guide interaction are omitted.,"This is an ideal kinematic inversion, not a magnet or structural design."
