material_identifier,category,material,grade,property_name,value,unit,temperature,field_condition,source_organization,source_title,source_url,publication_date,accessed_date,notes
aluminum_1050_o,conductor,commercially pure aluminum,1050-O benchmark,density_kg_m3,2705.0,kg/m^3,20 degC,not applicable,NIST Materials Data Repository,Properties of Wrought Aluminum and Aluminum Alloys,https://materialsdata.nist.gov/bitstream/handle/11115/179/Properties%20of%20Wrought%20Aluminum.pdf,2009,2026-08-30,1050 aluminum.
aluminum_1050_o,conductor,commercially pure aluminum,1050-O benchmark,electrical_resistivity_ohm_m,2.81e-08,ohm m,20 degC,O temper,NIST Materials Data Repository,Properties of Wrought Aluminum and Aluminum Alloys,https://materialsdata.nist.gov/bitstream/handle/11115/179/Properties%20of%20Wrought%20Aluminum.pdf,2009,2026-08-30,28.1 nOhm m.
copper_c10810,conductor,oxygen-free high-conductivity copper,C10810 benchmark,density_kg_m3,8940.0,kg/m^3,20 degC,not applicable,Copper Development Association Inc.,C10810 alloy properties,https://alloys.copper.org/alloy/C10810,,2026-08-30,0.323 lb/in^3 rounded to SI.
copper_c10810,conductor,oxygen-free high-conductivity copper,C10810 benchmark,electrical_resistivity_ohm_m,1.71e-08,ohm m,20 degC,massive fully dense copper benchmark,Copper Development Association Inc.,C10810 alloy properties,https://alloys.copper.org/alloy/C10810,,2026-08-30,"Traceable room-temperature benchmark, not a cryogenic value."
hastelloy_c276,conductor_component,Ni-Cr-Mo alloy,HASTELLOY C-276,density_kg_m3,8890.0,kg/m^3,room temperature,not applicable,Haynes International,HASTELLOY C-276 alloy,https://haynesintl.com/wp-content/uploads/2024/09/c-276.pdf,2024-09,2026-08-30,8.89 g/cm^3.
mqxf_benchmark,accelerator_magnet_benchmark,Nb3Sn quadrupole system,HL-LHC MQXF nominal design,aperture_diameter_m,0.15,m,1.9 K operation,coil clear aperture,CERN / US LARP,Magnet design of the 150 mm aperture low-beta quadrupoles for the High Luminosity LHC,https://cds.cern.ch/record/2262861/files/fermilab-pub-16-048-td.pdf?version=1,2017,2026-08-30,External scale benchmark only.
mqxf_benchmark,accelerator_magnet_benchmark,Nb3Sn quadrupole system,HL-LHC MQXF nominal design,nominal_gradient_t_m,132.6,T/m,1.9 K operation,nominal quadrupole gradient,CERN / US LARP,Magnet design of the 150 mm aperture low-beta quadrupoles for the High Luminosity LHC,https://cds.cern.ch/record/2262861/files/fermilab-pub-16-048-td.pdf?version=1,2017,2026-08-30,Does not establish orbital-guide mass or feasibility.
mqxf_benchmark,accelerator_magnet_benchmark,Nb3Sn quadrupole system,HL-LHC MQXF nominal design,peak_conductor_field_t,11.4,T,1.9 K operation,nominal operating current,CERN / US LARP,Magnet design of the 150 mm aperture low-beta quadrupoles for the High Luminosity LHC,https://cds.cern.ch/record/2262861/files/fermilab-pub-16-048-td.pdf?version=1,2017,2026-08-30,"Peak conductor field, not aperture-edge field."
superpower_ap_4mm,rebco_tape,REBCO on Hastelloy with copper stabilizer,"SuperPower AP, 4 mm benchmark",width_m,0.004,m,not applicable,4 mm product option,SuperPower Inc.,2G HTS Wire Specification,https://www.superpower-inc.com/specification.aspx,,2026-08-30,Nominal tape width.
superpower_ap_4mm,rebco_tape,REBCO on Hastelloy with copper stabilizer,"SuperPower AP, 4 mm benchmark",substrate_thickness_m,5e-05,m,not applicable,50 micrometre substrate option,SuperPower Inc.,2G HTS Wire Specification,https://www.superpower-inc.com/specification.aspx,,2026-08-30,Benchmark option selected for OR-2.
superpower_ap_4mm,rebco_tape,REBCO on Hastelloy with copper stabilizer,"SuperPower AP, 4 mm benchmark",total_copper_thickness_m,4e-05,m,not applicable,40 micrometre total surround-copper example,SuperPower Inc.,2G HTS Wire Specification,https://www.superpower-inc.com/specification.aspx,,2026-08-30,Within the published 10-110 micrometre option range.
superpower_ap_4mm,rebco_tape,REBCO on Hastelloy with copper stabilizer,"SuperPower AP, 4 mm benchmark",critical_current_min_a,120.0,A,77 K,self-field; AP tape; 4 mm width; 1 microvolt/cm criterion,SuperPower Inc.,2G HTS Wire Specification,https://www.superpower-inc.com/specification.aspx,,2026-08-30,Lower end of published 120-160 A range; no in-field extrapolation is permitted.
superpower_ap_4mm,rebco_tape,REBCO on Hastelloy with copper stabilizer,"SuperPower AP, 4 mm benchmark",critical_current_max_a,160.0,A,77 K,self-field; AP tape; 4 mm width; 1 microvolt/cm criterion,SuperPower Inc.,2G HTS Wire Specification,https://www.superpower-inc.com/specification.aspx,,2026-08-30,Upper end of published range.
superpower_ap_4mm,rebco_tape,REBCO on Hastelloy with copper stabilizer,"SuperPower AP, 4 mm benchmark",minimum_bending_diameter_m,0.011,m,77 K,50 micrometre substrate; 95% original Ic retention,SuperPower Inc.,2G HTS Wire Specification,https://www.superpower-inc.com/specification.aspx,,2026-08-30,Manufacturer mechanical limit.
tdk_n87,high_resistivity_ferrite,MnZn ferrite,SIFERRIT N87,reference_flux_density_t,0.49,T,25 degC,"H=1200 A/m, f=10 kHz",TDK Electronics AG,SIFERRIT material N87,https://www.tdk-electronics.tdk.com/download/540216/d6940b239127a8bab71b22168746021b/pdf-n87.pdf,2025-06,2026-08-30,"Reference flux density, used only as a moment upper-bound surrogate."
